“id”, “created_at”, “name”, “has_test”,“alternate_url”
"44486800","2021-06-10T16:04:52+0300","-",false,"https://hh.ru/vacancy/44486800"
"45387986","2021-06-10T23:37:40+0300","Senior",false,"https://hh.ru/vacancy/45387986"
"45395305","2021-06-11T10:26:37+0300","-",false,"https://hh.ru/vacancy/45395305"
"44777307","2021-06-11T11:50:28+0300","-",false,"https://hh.ru/vacancy/44777307"
"44837617","2021-06-11T15:22:00+0300","-",false,"https://hh.ru/vacancy/44837617"
"43505073","2021-06-11T16:10:35+0300","-",false,"https://hh.ru/vacancy/43505073"
"43471916","2021-06-11T17:01:19+0300","-",false,"https://hh.ru/vacancy/43471916"
"44959404","2021-06-11T20:50:47+0300","-",false,"https://hh.ru/vacancy/44959404"
"44966324","2021-06-12T08:24:34+0300","Senior/Middle",false,"https://hh.ru/vacancy/44966324"
"42971055","2021-06-12T09:55:54+0300","-",false,"https://hh.ru/vacancy/42971055"
"45062052","2021-06-12T11:25:46+0300","-",false,"https://hh.ru/vacancy/45062052"
"45067956","2021-06-12T12:48:49+0300","-",false,"https://hh.ru/vacancy/45067956"
"44483069","2021-06-12T15:24:56+0300","-",false,"https://hh.ru/vacancy/44483069"
"44088438","2021-06-12T19:00:33+0300","-",false,"https://hh.ru/vacancy/44088438"
"44625530","2021-06-13T10:33:41+0300","-",false,"https://hh.ru/vacancy/44625530"
"44639179","2021-06-13T14:09:05+0300","-",false,"https://hh.ru/vacancy/44639179"
"44653745","2021-06-13T19:45:22+0300","-",false,"https://hh.ru/vacancy/44653745"
"45287557","2021-06-14T09:03:17+0300","-",false,"https://hh.ru/vacancy/45287557"
"44505242","2021-06-14T09:04:18+0300","-",false,"https://hh.ru/vacancy/44505242"
"41941114","2021-06-14T11:15:06+0300","-",false,"https://hh.ru/vacancy/41941114"
